variant_id,question,answer
0_prompt01_s04,"A rectangular grid maze has 1481 rows and 1480 columns of unit squares. For each middle row (that is, rows 2 through 1480), there is exactly one invisible teleportation gate hidden in that row, and all of these gates lie in one of the same two columns. An explorer may start each attempt from any chosen square in the top row. In an attempt, the explorer may move one square at a time up, down, left, or right, revisiting squares if desired. If the explorer steps on a teleportation gate, the attempt immediately ends and the explorer is returned to the starting square of that attempt; the exact gate location just triggered is then recorded and remembered for future attempts. If the explorer reaches any square in the bottom row, they immediately succeed and the process stops. What is the minimum possible value of k such that a strategy can guarantee success by the k-th attempt, no matter how the gates are placed subject to the rules?",3
1_prompt02_s01,"In a math contest, for each integer n ≥ 5, define an (n − 5 + 1) by (n − 5 + 1) matrix M_n(λ) as follows: for i = 5, 5 + 1, …, n, the i-th diagonal entry is (i + 4)(i + 4 + 1)…(i + 4 + 5 − 1) − λ, and every off-diagonal entry equals −λ. Let λ_n be the maximal real λ > 0 with det(M_n(λ)) = 0. Determine the exact value of L = limsup_{n→∞} λ_n.",47520
10_prompt01_s02,"Define N to be the least positive integer that cannot be expressed as a sum of at most 1767 terms of the form ± 2^{b_i}, where each b_i is a nonnegative integer and repetitions of exponents are allowed. Compute N modulo 61713647.",42093190
11_prompt01_s01,"On an 9x8 grid, a bishop moves along diagonals, but blocked squares stop lines of sight and cannot be occupied. Let B be the set of blocked squares, listed as row-column pairs with 1-based indices: [(1, 7), (2, 8), (3, 2), (3, 3), (3, 7), (3, 8), (4, 1), (4, 4), (5, 8), (6, 8), (7, 3), (7, 4), (8, 6), (9, 6)].
You may mark only unblocked squares. Determine the smallest number of unblocked squares that must be marked so that for every legal placement of a single bishop on any unblocked square, each of the two diagonals through that square contains at least one marked unblocked square (the bishop's own square counts if it is marked). Provide only the minimal number.",23
12_prompt01_s01,"In a cyclic arrangement of 9 positive integers x_1, x_2, ..., x_9 (indices taken modulo 9), and for an exponent p = 5, let D be the set of offsets 2, 3, 4 with corresponding positive integer weights given by 2:2, 3:4, 4:3. Determine the largest real constant C such that for all choices of the x_i,

  (x_1 + x_2 + ... + x_9)^5 >= C * gcd(x_1, x_2, ..., x_9)^{p-2} * sum_{d in D} w_d * sum_{i=1}^9 (gcd(x_i, x_{i+d}) * lcm(x_{i+d}, x_i)).

Here w_d denotes the weight associated with offset d, and the sums are taken with indices modulo 9.",729
13_prompt01_s01,"On an n×n grid, you must place exactly 13240 coins so that each cell holds an integer number of coins between 0 and 65, inclusive. For any two squares sharing a side, the absolute difference in their coin counts must be exactly 2 if the squares are horizontally adjacent and exactly 1 if the squares are vertically adjacent. Determine the largest possible n for which such an arrangement exists.",20
14_prompt01_s01,"In a math contest, 11 distinct positive integers are to be arranged around a circle, using each integer from the multiset [58,20,50,18,56,15,80,55,16,19,43] exactly once. For a cyclic ordering a_1, a_2, ..., a_11 (with a_{m+1} = a_1), define S = \sum_{i=1}^11 \left\lfloor \frac{a_{i+1}}{a_i} \right\rfloor. Determine the minimal possible value of S over all such cyclic orderings.",3
15_prompt01_s02,"On a cylindrical chessboard with 5 rows and 14 columns (rows wrap top-to-bottom, columns do not), a king attacks any piece in one of the eight neighboring squares (sharing a side or a vertex). Determine the maximum number of kings that can be placed so that each king attacks exactly one other king, and no king attacks any non-partner. Give the value of this maximum for the specified 5 and 14.",24
16_prompt01_s04,"In a two-stage dice game, 4 fair 6-sided dice are rolled. After observing the outcomes, you must choose exactly 3 of the dice to re-roll once; the remaining dice are kept. Let p be the maximal probability (over all outcome-dependent choices of which 3 dice to re-roll) that the final sum of all dice equals 16. Compute 279936 * p.",34055
17_prompt02_s03,"Let n = 13 be a fixed positive integer. Determine the largest positive integer m for which there exist pairwise distinct, nonzero complex numbers r_1, r_2, ..., r_13 with the property that for every integer j satisfying 1 ≤ j ≤ m and for every s in the set {1, 2, ..., 13}, the product ∏_{k=1}^{13} (r_k^(s j) + 1) is equal to 1. Report the remainder when this maximal m is divided by 7842425.",8190
18_prompt01_s01,"On a toroidal chessboard with wrap-around edges (top connects to bottom, left connects to right), consider a 35×35 grid of unit squares. We place n pieces on distinct squares. For each piece, define its range to be the axis-aligned 9×9 square centered at the piece, interpreted on the torus, so that the range consists of all squares whose Chebyshev (L∞) distance on the torus from the piece is at most 4. Suppose that the range of each piece contains exactly one other piece (no more, no less). What is the maximum possible n?",80
