variant_id,question,answer
1_prompt02_s04,"Consider an equilateral triangle whose side is divided into 6 equal segments. Through each division point, draw lines parallel to the other two sides, forming the standard triangular lattice of all intersection points. Define axial isosceles triangles as triples of lattice points {P, Q, R} for which two equal legs share the apex at P and run along two distinct lattice edge-directions (i.e., among the three families of directions parallel to the triangle's sides), and the two equal legs have the same integer step length t with 1 ≤ t ≤ 2. Among the full set of lattice points generated this way, determine the smallest integer n such that, no matter which n points are chosen, there must exist three points forming such an axial isosceles triangle with equal leg step length at most 2. After solving the above problem, please output your final answer in the following format:
### The final answer is: $\boxed{<your answer>}$
Example:
### The final answer is: $\boxed{123}$",15
10_prompt03_s01,"Let x, y, z be positive real numbers such that (x^2 - 1)(y^2 - 1)/(xy) + (x^2 - 1)(z^2 - 1)/(xz) + (z^2 - 1)(y^2 - 1)/(yz) = 4 and xy + xz + yz ≠ 1. Determine the minimum value of the expression E = 9 x^2 + 8100 y^2 z^2 - 16200 yz + 10000/(y + z)^2.",-5400
11_prompt03_s01,"In a math contest, fix the rational exponent r = 9/4 with r > 1. Determine the largest positive integer n for which the following statement is true: For every choice of positive real numbers x_1, x_2, ..., x_n with x_1 + x_2 + ... + x_n = n, one always has sum_{i=1}^n x_i^{-r} >= sum_{i=1}^n x_i^{r}. Report the integer n.",7
12_prompt01_s01,"In a math contest, there are 180 three-dimensional vectors A_n = (x_n, y_n, z_n) for 1 ≤ n ≤ 180. They satisfy the domain conditions that sqrt(3 + x_n), sqrt(4 + y_n), and sqrt(6 + z_n) are all real numbers for every n, and the following moment constraints:
- ∑_{n=1}^180 x_n^3 = 0 and ∑_{n=1}^180 x_n^2 = 2160.
- ∑_{n=1}^180 z_n^3 = 0 and ∑_{n=1}^180 z_n = 360.
- ∑_{n=1}^180 (y_n + 4)(y_n - 9)^2 = 0 and ∑_{n=1}^180 y_n = 1165.

Let i = 75 and j = 34. Find the maximum possible value of |A_i| / |A_j|.

After solving the above problem, please output your final answer in the following format:
### The final answer is: $\boxed{<your answer>}$
The final answer should be given as precisely as possible (using LaTeX symbols such as \sqrt, \frac, \pi, etc.). If the final answer involves a decimal approximation, it must be accurate to at least four decimal places.",2.12132034356
13_prompt01_s01,"In a math contest, 7 participants each submit a pair \((a_n,b_n)\) with \(a_n\) being a non-negative integer and \(b_n\) a positive real number, for \(n=1,2,\dots,7\). Define \(x_n=a_n b_n\) for each \(n\). Let \(\alpha=7\), \(m_1=1500\), \(m_2=964714\), and \(m_3=1240622632\). Suppose the following equalities hold:

1. \(\Big(\sum_{n=1}^{\alpha} x_n\Big)\Big(\sum_{k=0}^{m_1-1} \frac{1}{(k+m_1+1)(2m_1-k)}\Big)=\sum_{k=1}^{m_1} \frac{1}{k(2k-1)}\).

2. \(\Big(\sum_{n=1}^{\alpha} x_n^2\Big)\Big(\sum_{k=0}^{m_2-1} \frac{1}{(k+m_2+1)(2m_2-k)}\Big)=\sum_{k=1}^{m_2} \frac{1}{k(2k-1)}\).

3. \(\Big(\sum_{k=0}^{m_3-1} \frac{1}{(k+m_3+1)(2m_3-k)}\Big)\Big(2\sum_{n=1}^{\alpha} x_n^3-1\Big)=\sum_{k=1}^{m_3} \frac{1}{k(2k-1)}\).

Find the minimum possible value of \(\sum_{n=1}^{\alpha} x_n^4\).",1196580529207
14_prompt01_s01,"In a math contest, 88 students study a parametric system that generalizes a classic AIME-style floor-system problem. Throughout, [t] denotes the greatest integer less than or equal to t. For each positive integer n, define the sums S1(n) = sum_{k=1}^n 1/(k(2k-1)) and S2(n) = sum_{k=0}^{n-1} 1/((k+n+1)(2n-k)). Consider the system in real variables x, y with x, y >= 0:

1) ([y + 0] * x^2 + 2*n + 1) * S2(n) = S1(n).
2) Let T = ([x + 1] * y^2). Then (T - (n + 1)) * (T - (2n + 1)) * ((T + n + 1)^2 + 1) = 0.

For each n, let a_n be the number of distinct real solutions (x, y) to this system with x, y >= 0. Let P be the set of all prime numbers at most 88. Determine whether there exist primes p > k > q in P such that a_p < a_k < a_q. If such primes exist, find the minimum possible value of p + k + q over all such triples; if no such triple exists for primes in P, answer 0.",43
15_prompt02_s03,"Let x, y, z be real numbers satisfying the spherical constraint (x - 8)^2 + (y - 5)^2 + (z - 8)^2 = 8^2. It is guaranteed that for all such (x, y, z), the denominator remains positive: 2 x + -4 y + 5 z + 21.665631 > 0. Determine the minimum value of the ratio (-2 x + -6 y + -6 z + -5) / sqrt(2 x + -4 y + 5 z + 21.665631).",-45.5464536425
16_prompt01_s01,"Let 30 real numbers d_1, d_2, ..., d_30 lie in the closed interval [1, 3]. They satisfy the constraint sum over i=1 to 30 of (2*d_i^3 + -14*d_i^2 + 33*d_i + -12) equals 276. Determine the maximum possible value of S = d_1 + d_2 + ... + d_30. Your final numeric answer should be exact.",32
17_prompt06_s01,"Let n = 1673. Let x_1, x_2, ..., x_1673 be a permutation of the integers 1, 2, ..., 1673. For the fixed integers c = 0 and d = 7 (with d >= 0 and c >= 0), consider the sum S = sum from i = 1 to n - 1 of (x_i + c) / (x_{i+1} + d). Among all permutations, determine the greatest integer less than the minimum possible value of S. After solving, please output your final answer in the format: '### The final answer is: \boxed{<your answer>}'",1629
18_prompt07_s01,"Let vectors v_1, v_2, ..., v_198 in R^5 satisfy sum_{k=1}^198 v_k = 0 and sum_{k=1}^198 ||v_k||^2 = 90. Determine the minimum possible value of max_{1 <= i < j <= n} ||v_i - v_j||. You may assume n is a multiple of (p+1).

After solving the above problem, please output your final answer in the following format:
### The final answer is: \boxed{<your answer>}",1.04446593573
19_prompt01_s01,"Let n = 26 and let a_1 < a_2 < \cdots < a_26 be positive integers satisfying a_1 \ge 1 and a_{i+1} - a_i \ge 1 for all 1 \le i < n. Suppose the total sum is
\[\sum_{i=1}^26 a_i = 899.\]
For 1 \le k \le n define
\[b_k = \min\!\Big(\sum_{i=1}^{k} a_i,\; \sum_{i=k+1}^26 a_i\Big),\]
and set b_n = 0. Let
\[S = \max(b_1, b_2, \ldots, b_n).\]
Determine the minimum possible value of S over all sequences (a_i) obeying the above constraints. Give your answer as a single exact integer.",300
2_prompt01_s01,"For the given integer 11 >= 5, define S(k) as follows. Consider all ordered quadruples (p, a, q, b) where p and q are distinct odd primes and a, b are positive integers, such that p^{a} + q^{b} is a perfect power and equals 2^11. For each such quadruple, form the product a*b. Let S(k) be the sum of these products over all valid ordered quadruples. Compute S(k).",98
