variant_id,question,answer
1_prompt02_s04,"Consider an equilateral triangle whose side is divided into 6 equal segments. Through each division point, draw lines parallel to the other two sides, forming the standard triangular lattice of all intersection points. Define axial isosceles triangles as triples of lattice points {P, Q, R} for which two equal legs share the apex at P and run along two distinct lattice edge-directions (i.e., among the three families of directions parallel to the triangle's sides), and the two equal legs have the same integer step length t with 1 ≤ t ≤ 2. Among the full set of lattice points generated this way, determine the smallest integer n such that, no matter which n points are chosen, there must exist three points forming such an axial isosceles triangle with equal leg step length at most 2. After solving the above problem, please output your final answer in the following format:
### The final answer is: $\boxed{<your answer>}$
Example:
### The final answer is: $\boxed{123}$",15
1_prompt03_s04,"Consider an equilateral triangle whose sides are divided into 13 equal parts. Through each division point, draw lines parallel to the other two sides. Together with the sides of the triangle, these parallels define a triangular lattice of 105 points. An axial isosceles triangle is defined as a triangle whose two equal sides are parallel to two distinct sides of the original equilateral triangle (i.e., the equal legs align with two of the three lattice directions). Determine T(13), the total number of axial isosceles triangles whose vertices lie among these lattice points. After solving the above problem, please output your final answer in the following format:
### The final answer is: $\boxed{<your answer>}$
Example:
### The final answer is: $\boxed{123}$
The final answer should be given as precisely as possible (using LaTeX symbols such as \sqrt, \frac, \pi, etc.). If the final answer involves a decimal approximation, it must be accurate to at least four decimal places.",### The final answer is: $\boxed{1876}$
1_prompt04_s01,"Generalized lattice-triangle selection problem:

Let ABC be an equilateral triangle. Divide each side into 4 equal parts. Through every division point, draw lines parallel to the other two sides. These lines together with the sides of ABC induce a triangular lattice of exactly 15 grid points inside and on ABC.

Call three grid points nondegenerate if they are not collinear. A triangle formed by three grid points is isosceles if at least two of its side lengths (in the Euclidean sense) are equal; equilateral triangles are allowed as a special case.

Determine the smallest integer n such that, no matter which n grid points are chosen among these 15 lattice points, there always exist three chosen points that form a nondegenerate isosceles triangle.

After solving the above problem, please output your final answer in the following format:
### The final answer is: \boxed{<your answer>}
Example:
### The final answer is: \boxed{123}
The final answer should be given as precisely as possible (using LaTeX symbols such as \sqrt, \frac, \pi, etc.). If the final answer involves a decimal approximation, it must be accurate to at least four decimal places.",6
1_prompt04_s03,"Generalized lattice-triangle selection problem:

Let ABC be an equilateral triangle. Divide each side into 5 equal parts. Through every division point, draw lines parallel to the other two sides. These lines together with the sides of ABC induce a triangular lattice of exactly 21 grid points inside and on ABC.

Call three grid points nondegenerate if they are not collinear. A triangle formed by three grid points is isosceles if at least two of its side lengths (in the Euclidean sense) are equal; equilateral triangles are allowed as a special case.

Determine the smallest integer n such that, no matter which n grid points are chosen among these 21 lattice points, there always exist three chosen points that form a nondegenerate isosceles triangle.

After solving the above problem, please output your final answer in the following format:
### The final answer is: \boxed{<your answer>}
Example:
### The final answer is: \boxed{123}
The final answer should be given as precisely as possible (using LaTeX symbols such as \sqrt, \frac, \pi, etc.). If the final answer involves a decimal approximation, it must be accurate to at least four decimal places.",7
1_prompt04_s05,"Generalized lattice-triangle selection problem:

Let ABC be an equilateral triangle. Divide each side into 5 equal parts. Through every division point, draw lines parallel to the other two sides. These lines together with the sides of ABC induce a triangular lattice of exactly 21 grid points inside and on ABC.

Call three grid points nondegenerate if they are not collinear. A triangle formed by three grid points is isosceles if at least two of its side lengths (in the Euclidean sense) are equal; equilateral triangles are allowed as a special case.

Determine the smallest integer n such that, no matter which n grid points are chosen among these 21 lattice points, there always exist three chosen points that form a nondegenerate isosceles triangle.

After solving the above problem, please output your final answer in the following format:
### The final answer is: \boxed{<your answer>}
Example:
### The final answer is: \boxed{123}
The final answer should be given as precisely as possible (using LaTeX symbols such as \sqrt, \frac, \pi, etc.). If the final answer involves a decimal approximation, it must be accurate to at least four decimal places.",7
10_prompt03_s01,"Let x, y, z be positive real numbers such that (x^2 - 1)(y^2 - 1)/(xy) + (x^2 - 1)(z^2 - 1)/(xz) + (z^2 - 1)(y^2 - 1)/(yz) = 4 and xy + xz + yz ≠ 1. Determine the minimum value of the expression E = 9 x^2 + 8100 y^2 z^2 - 16200 yz + 10000/(y + z)^2.",-5400
10_prompt03_s02,"Let x, y, z be positive real numbers such that (x^2 - 1)(y^2 - 1)/(xy) + (x^2 - 1)(z^2 - 1)/(xz) + (z^2 - 1)(y^2 - 1)/(yz) = 4 and xy + xz + yz ≠ 1. Determine the minimum value of the expression E = 9 x^2 + 35721 y^2 z^2 - 71442 yz + 194481/(y + z)^2.",-23814
10_prompt03_s03,"Let x, y, z be positive real numbers such that (x^2 - 1)(y^2 - 1)/(xy) + (x^2 - 1)(z^2 - 1)/(xz) + (z^2 - 1)(y^2 - 1)/(yz) = 4 and xy + xz + yz ≠ 1. Determine the minimum value of the expression E = 25 x^2 + 455625 y^2 z^2 - 911250 yz + 531441/(y + z)^2.",-400950
10_prompt03_s04,"Let x, y, z be positive real numbers such that (x^2 - 1)(y^2 - 1)/(xy) + (x^2 - 1)(z^2 - 1)/(xz) + (z^2 - 1)(y^2 - 1)/(yz) = 4 and xy + xz + yz ≠ 1. Determine the minimum value of the expression E = 9 x^2 + 18225 y^2 z^2 - 36450 yz + 50625/(y + z)^2.",-12150
10_prompt03_s05,"Let x, y, z be positive real numbers such that (x^2 - 1)(y^2 - 1)/(xy) + (x^2 - 1)(z^2 - 1)/(xz) + (z^2 - 1)(y^2 - 1)/(yz) = 4 and xy + xz + yz ≠ 1. Determine the minimum value of the expression E = 9 x^2 + 8100 y^2 z^2 - 16200 yz + 10000/(y + z)^2.",-5400
