seed_id,question,answer
0,"An explorer is challenging to pass through a maze composed of 3033 rows and 3032 columns of squares. The rules of the maze are as follows: In all the middle rows (that is, from the 2nd row to the 3032nd row), there is one invisible teleportation gate hidden in each row, and there are no multiple invisible teleportation gates in the same column. The explorer starts from any position in the 1st row. Each time, he can move one square up, down, left or right, and it is allowed to pass through the explored areas repeatedly. If the explorer touches a teleportation gate, he will immediately return to the starting point and start the next attempt. However, the explorer will mark the position of that teleportation gate. If the explorer reaches any position in the 3033rd row, he will directly pass the maze. It is known that the explorer can remember the positions of all the discovered teleportation gates. Please construct a general strategy so that no matter how the teleportation gates are distributed, the explorer will definitely pass the maze in the \(k\)th attempt in the worst-case scenario. Find the minimum possible value of \(k\).",3
1,For a positive integer \(n\geq2\)，define \(n - 1\) by \(n-1\) matrix \(M_n(\lambda)=\begin{pmatrix}6-\lambda&-\lambda&-\lambda&\cdots&-\lambda\\-\lambda&24-\lambda&-\lambda&\cdots&-\lambda\\-\lambda&-\lambda&60-\lambda&\cdots&-\lambda\\\vdots&\vdots&\vdots&\vdots&\vdots\\-\lambda&-\lambda&-\lambda&\cdots&n^{3}-n-\lambda\end{pmatrix}\). Let \(\lambda_n\)be the maximal \(\lambda\) such that \(\det(M_n(\lambda)) = 0\). Find \(I=\limsup_{n\rightarrow\infty}\lambda_n\).,4
10,"Let \(N\) be the minimal positive integer which can not be represented as \(\sum_{i = 1}^{7263}(- 1)^{a_{i}}\times2^{b_{i}}\) where \(a_{i},b_{i}(i = 1,2,\cdots,7263)\) are non-negative integers. Find \(N \mod 29\).",23
11,"How many squares at least should be marked on a \(13\times13\) chessboard such that for any placement of a bishop on the chessboard, the bishop can threaten at least one of the marked squares? (A bishop can threaten the squares on the same diagonal line, and if a bishop is placed on a marked square, it is also considered that the square is threatened.)",24
12,"Find the largest positive number \(C\)，such that for any six positive integers \(x_1, x_2, \ldots, x_6\)，we have\( \left(x_1+\cdots+x_6\right)^3  \geq C \operatorname{gcd}\left(x_1, x_2, \ldots, x_6\right) \cdot \sum_{i=1}^6 \left(\operatorname{gcd}\left(x_i, x_{i+1}\right) \cdot \operatorname{lcm}\left(x_{i+1}, x_{i+2}\right)\right) \)
where \(x_{7}=x_1, x_{8}=x_2\).",27
13,"Place 471 coins in the squares of an \(n\times n\) board where each block can hold 1 coin, multiple coins, or no coin at all, such that the difference in the number of coins between any two adjacent squares (squares that share a common side) is 1. Find the maximum value of \(n\) for which such an arrangement is possible.",29
14,"For integers \(a_1,a_2,\cdots,a_{7926}\in\{1,2,\cdots,500\}\), denote \(S = \sum_{i = 1}^{7926}\left[\frac{a_{i + 1}}{a_i}\right]\), where \(a_{7927}=a_1\). Find the minimal possible value of \(S\).",32
15,"Find the maximum number of ""kings"" that can be placed on a \(10\times10\) chessboard, such that each ""king"" can exactly attack ONE other ""king"" (a ""king"" can attack the chess piece in the square that shares a common vertex with the square it is in).",40
16,"Kevin throws three fair dice numbered from 1 to 6. Then he observes the results of the first throw of the three dice. From these three dice, he can choose \(n\), where \(0\leq n\leq3\) dice to re-throw once. After that, the operation ends. Kevin's goal is to maximize the probability that the sum of the numbers on the final three dice is 7, and Kevin is smart enough. Let the probability when \(n = 2\) be \(p\). What is the value of \(216\times p\)?",42
17,"Let \(m\) be the maximal positive integer such that there exists complex numbers \(r_1,\cdots,r_{645}\), which are not all zeros, satisfying \(\prod_{k = 1}^{645}(r_k + 1)=\prod_{k = 1}^{645}(r_k^2+1)=\cdots=\prod_{k = 1}^{645}(r_k^m + 1)=1\). Find \(m \mod 848\).",46
18,"Given a \(15\times15\) chessboard, there are \(n\) pieces placed on \(n\) individual squares respectively. For each piece, a \(5\times5\) square with its sides parallel to the boundaries of the chessboard is drawn with the piece located as the center, and this square is called the range of the piece. If there is exactly one other piece within the range of each piece, find the maximum value of \(n\).",48
19,"Let \(\left\{a_n\right\}\) satisfies \(a_1=\frac{2}{5}, a_n^2=a_{n+1}-2 a_n^2 a_{n+1}\), find the residue of \(\left[\frac{1}{a_{2025}}\right]\) mod 407.",53
2,"A sequence of real numbers \(\{a_n\}\) satisfies that：\(a_{n + 1}=2^n-7a_n，n = 0,1,2,\cdots\). Find the minimal possible value of \(\frac{1}{a_0}\) such that \(a_{n + 1}>a_n\) for any positive integer \(n\).",9
20,"It is known that one plane divides the space (three-dimensional) into two parts, two parallel planes divide the space into three parts, and two intersecting planes divide the space into four parts; Consider the planes where the six faces of the cube \(ABCD - A_1B_1C_1D_1\) are located, and the planes where the four faces of the tetrahedron \(BA_1C_1D_1\) are located. How many parts does these ten planes divide the space into?",64
21,"Let \(S = \{\frac{2y - 3}{2x - 1} \mid \min\{\vert x - 2\vert,\vert x + 2\vert\}+\vert y\vert\leqslant1\}\), Assume the length of the set \(S = \frac{m}{p}\) where \(m\) and \(p\) are coprimes, Find \(m+p\).",67
22,"Given that the quadrilateral inscribed in the sphere is an isosceles trapezoid \(ABCD\), where \(AB = 2\), \(BC = AD = 3\), \(CD = 4\), and the center of the sphere is \(O\). Points \(E\) and \(F\) are respectively on the sides \(AD\) and \(BC\), and the minimum value of \(\overrightarrow{OE}\cdot\overrightarrow{OF}\) is \(- 2\). Find the minimum interger which is greater than the volume of the sphere.",70
23,"Suppose there is a necklace composed of beads of two colors, red and blue, with a total of 16 beads. And the necklace can be freely rotated and flipped (that is, the cases regarded as the same necklace need to be combined for counting). If on this necklace, there are neither three consecutive blue beads nor three consecutive red beads, how many different necklaces that meet the above requirements are there?",88
24,"Let the plane be tiled with an infinite number of unit squares arranged in a checkerboard pattern. If another unit square falls randomly on this plane, and its position and orientation are independent of the tiling of the checkerboard, let \(p\) be the probability that this unit square does not cover any vertex of the squares in the checkerboard. Find \(\lfloor 1000\cdot p\rfloor\) (the result of rounding down the product of \(1000\) and \(p\)).",90
25,"Real numbers \(x_1 \leq x_2 \leq \ldots \leq x_9\) such that \(\sum_{i=1}^9 x_i=1\). Find the maximum value of 
\(
\frac{\left(\sum_{i=1}^9\left|x_i-x_{5}\right|\right)^2 \cdot \sum_{1 \leq i<j \leq 9}\left(x_i-x_j\right)^2}{\left(\sum_{i=1}^9 x_i^2\right)^3}
\).",96
26,"In a square grid table composed of \(16\times16\) unit squares with side length \(1\), \(n\) squares are selected. In each of the selected squares, a directed diagonal is drawn. It is known that for any two directed diagonals, either the end point of one diagonal is the same as the starting point of the other diagonal, or the distance between the two end points is at least \(2\). Find the maximum value of \(n\).",108
27,"A set of 2025 squares in a \(2025\times2048\) chessboard is called a generalized diagonal (simply called a diagonal for short) if any two of these squares are neither in the same row nor in the same column. Some squares in the \(2025\times2048\) chessboard are colored red such that there are at most 128 red squares in each row and each column. Try to find the minimum value of the positive integer \(n\) such that for any coloring method, we can always find \(n\) diagonals on the chessboard, such that all the red squares are on these diagonals.",128
28,"Let \(a_1,a_2,\cdots\) be an infinite sequence of positive integers with \(a_1 = 1\), such that\(a_n\mid a_k + a_{k + 1}+\cdots + a_{k + n - 1}\)  for all positive integers \(k\) and \(n\). Let \(N\) be the maximal possible value of \(a_{5652}\), find the \(N \mod 776\).",143
29,"If integer \(n\) satisfies \(a_1=n^2-10 n+23, a_2=n^2-9 n+97, a_3=n^2-12 n+46\) are all primes, Find the sum of all possible value of \(a_1+a_2+a_3\).",196
3,"A frog starts from 0 and makes 2047 jumps. This process satisfies the following conditions: (1) The frog will jump to each point in the set \(\{1, 2, 3,\cdots,2047\}\) exactly once without repetition or omission. (2) The length of each jump of the frog is a power of 2, and the direction can be either to the left or to the right. Let \(T\) be the sum of the reciprocals of the lengths of the frog's jumps. Find the minimum value of \(T\).",11
30,"The 30 edges of a regular icosahedron are distinguished by labeling them 1, 2, ..., 30. How many different ways are there to paint each edge red, white, or blue such that each of the 20 triangular faces of the icosahedron has two edges of the same color and a third edge of a different color? Find the answer mod 1000.",224
31,"Assume a positive integer \(N\) can be represented as summation of \(k\) consecutive positive integers, i.e. \(N = a + (a + 1) + (a + 2) + \cdots + (a + k - 1)\), for \(k = 1559\), and can not be represented as summation of \(k\) consecutive positive integers for any other \(k > 1\). Consider all positive integers \(N\) with the aforementioned property, find the minimal positive integer \(a\) in all of the representations of all \(N\).",245
32,"Real numbers \(a,b,c>0\) where \(a+b+c=3\), let the maximal value of \((a^3+b^3+c^3)*(a+b)*(b+c)*(c+a)\) be \(p = \frac{m}{n}\) where \(m\) and \(n\) are coprimes. Find \(m+n\).",247
