variant_id,question,answer
1983-10::1983_prompt01_s01,"An $n$-digit integer in base $b$ is called 'special' if its first digit is a fixed non-zero digit, and its multiset of digits is composed of exactly one pair of identical digits and $n-2$ other distinct digits. Let $C(n,b)$ denote the number of $n$-digit special integers. Given that for a certain base $b > 4$, $C(4, b) = 1260$, compute $C(6, b)$.",491400
1983-10::1983_prompt01_s03,"An $n$-digit integer in base $b$ is called 'special' if its first digit is a fixed non-zero digit, and its multiset of digits is composed of exactly one pair of identical digits and $n-2$ other distinct digits. Let $C(n,b)$ denote the number of $n$-digit special integers. Given that for a certain base $b > 4$, $C(4, b) = 1632$, compute $C(5, b)$.",40800
1983-10::1983_prompt01_s04,"An $n$-digit integer in base $b$ is called 'special' if its first digit is a fixed non-zero digit, and its multiset of digits is composed of exactly one pair of identical digits and $n-2$ other distinct digits. Let $C(n,b)$ denote the number of $n$-digit special integers. Given that for a certain base $b > 3$, $C(3, b) = 24$, compute $C(5, b)$.",3360
1983-10::1983_prompt01_s05,"An $n$-digit integer in base $b$ is called 'special' if its first digit is a fixed non-zero digit, and its multiset of digits is composed of exactly one pair of identical digits and $n-2$ other distinct digits. Let $C(n,b)$ denote the number of $n$-digit special integers. Given that for a certain base $b > 7$, $C(7, b) = 1164240$, compute $C(5, b)$.",9900
1983-10::1983_prompt02_s01,"Let an integer be defined as 'special' if it is written in base-9, has 8 digits, and its first digit is 7. Furthermore, for a number to be special, its multiset of digits must contain exactly two distinct digits which appear twice, and the remaining 4 digits must all be distinct and appear once. How many such special integers are there?",1411200
1983-11::1983_prompt02_s01,"The base of a solid obelisk is an isosceles trapezoid with parallel sides of length 204 and 12. The top of the obelisk is a line segment of length 92, parallel to the aforementioned sides of the base, and positioned such that its vertical projection is centered on the base's centroid. All four of the sloped lateral edges, which connect the vertices of the base to the endpoints of the top segment, have the same length. The height of the obelisk (the perpendicular distance between the plane of the base and the top segment) is 15. Given that the height of the trapezoidal base is a positive integer, what is the volume of the obelisk?",55440
1983-11::1983_prompt02_s02,"The base of a solid obelisk is an isosceles trapezoid with parallel sides of length 186 and 30. The top of the obelisk is a line segment of length 104, parallel to the aforementioned sides of the base, and positioned such that its vertical projection is centered on the base's centroid. All four of the sloped lateral edges, which connect the vertices of the base to the endpoints of the top segment, have the same length. The height of the obelisk (the perpendicular distance between the plane of the base and the top segment) is 10. Given that the height of the trapezoidal base is a positive integer, what is the volume of the obelisk?",19200
1983-11::1983_prompt02_s03,"The base of a solid obelisk is an isosceles trapezoid with parallel sides of length 140 and 76. The top of the obelisk is a line segment of length 104, parallel to the aforementioned sides of the base, and positioned such that its vertical projection is centered on the base's centroid. All four of the sloped lateral edges, which connect the vertices of the base to the endpoints of the top segment, have the same length. The height of the obelisk (the perpendicular distance between the plane of the base and the top segment) is 24. Given that the height of the trapezoidal base is a positive integer, what is the volume of the obelisk?",46080
1983-11::1983_prompt02_s04,"The base of a solid obelisk is an isosceles trapezoid with parallel sides of length 166 and 50. The top of the obelisk is a line segment of length 72, parallel to the aforementioned sides of the base, and positioned such that its vertical projection is centered on the base's centroid. All four of the sloped lateral edges, which connect the vertices of the base to the endpoints of the top segment, have the same length. The height of the obelisk (the perpendicular distance between the plane of the base and the top segment) is 4. Given that the height of the trapezoidal base is a positive integer, what is the volume of the obelisk?",20736
1983-11::1983_prompt02_s05,"The base of a solid obelisk is an isosceles trapezoid with parallel sides of length 146 and 4. The top of the obelisk is a line segment of length 50, parallel to the aforementioned sides of the base, and positioned such that its vertical projection is centered on the base's centroid. All four of the sloped lateral edges, which connect the vertices of the base to the endpoints of the top segment, have the same length. The height of the obelisk (the perpendicular distance between the plane of the base and the top segment) is 6. Given that the height of the trapezoidal base is a positive integer, what is the volume of the obelisk?",15000
1983-12::1983_prompt03_s01,"Let $b = 9$ be an integer base. The diameter $AB$ of a circle has a length $D$ which is a two-digit number when written in base $b$. Let the digits be $t$ and $u$, so $D = t \cdot b + u$, where $t \in \{1, 2, \dots, b-1\}$ and $u \in \{0, 1, \dots, b-1\}$. Reversing the digits of $D$ in base $b$ gives the length of a chord $CD$, which is perpendicular to the diameter $AB$. The distance from the intersection point of $AB$ and $CD$ to the center of the circle is a positive integer. Find the sum of all possible values of $D$, expressed as an integer in base 10.",152
1983-12::1983_prompt03_s02,"Let $b = 7$ be an integer base. The diameter $AB$ of a circle has a length $D$ which is a two-digit number when written in base $b$. Let the digits be $t$ and $u$, so $D = t \cdot b + u$, where $t \in \{1, 2, \dots, b-1\}$ and $u \in \{0, 1, \dots, b-1\}$. Reversing the digits of $D$ in base $b$ gives the length of a chord $CD$, which is perpendicular to the diameter $AB$. The distance from the intersection point of $AB$ and $CD$ to the center of the circle is a positive integer. Find the sum of all possible values of $D$, expressed as an integer in base 10.",90
1983-12::1983_prompt03_s03,"Let $b = 7$ be an integer base. The diameter $AB$ of a circle has a length $D$ which is a two-digit number when written in base $b$. Let the digits be $t$ and $u$, so $D = t \cdot b + u$, where $t \in \{1, 2, \dots, b-1\}$ and $u \in \{0, 1, \dots, b-1\}$. Reversing the digits of $D$ in base $b$ gives the length of a chord $CD$, which is perpendicular to the diameter $AB$. The distance from the intersection point of $AB$ and $CD$ to the center of the circle is a positive integer. Find the sum of all possible values of $D$, expressed as an integer in base 10.",90
1983-12::1983_prompt03_s04,"Let $b = 9$ be an integer base. The diameter $AB$ of a circle has a length $D$ which is a two-digit number when written in base $b$. Let the digits be $t$ and $u$, so $D = t \cdot b + u$, where $t \in \{1, 2, \dots, b-1\}$ and $u \in \{0, 1, \dots, b-1\}$. Reversing the digits of $D$ in base $b$ gives the length of a chord $CD$, which is perpendicular to the diameter $AB$. The distance from the intersection point of $AB$ and $CD$ to the center of the circle is a positive integer. Find the sum of all possible values of $D$, expressed as an integer in base 10.",152
1983-12::1983_prompt03_s05,"Let $b = 7$ be an integer base. The diameter $AB$ of a circle has a length $D$ which is a two-digit number when written in base $b$. Let the digits be $t$ and $u$, so $D = t \cdot b + u$, where $t \in \{1, 2, \dots, b-1\}$ and $u \in \{0, 1, \dots, b-1\}$. Reversing the digits of $D$ in base $b$ gives the length of a chord $CD$, which is perpendicular to the diameter $AB$. The distance from the intersection point of $AB$ and $CD$ to the center of the circle is a positive integer. Find the sum of all possible values of $D$, expressed as an integer in base 10.",90
1983-13::1983_prompt02_s01,"Let $S$ be an arithmetic progression of 5 terms with first term 4 and common difference 1. For each non-empty subset of $S$, a 'weighted alternating sum' is defined. The weighted alternating sum of a subset is its size multiplied by its alternating sum. The alternating sum is found by listing the elements in decreasing order and alternately adding and subtracting them. For example, for a subset $\{c_1, c_2, c_3\}$ with $c_1>c_2>c_3$, its alternating sum is $c_1-c_2+c_3$ and its weighted alternating sum is $3(c_1-c_2+c_3)$. Find the sum of the weighted alternating sums over all non-empty subsets of $S$.",328
1983-13::1983_prompt02_s02,"Let $S$ be an arithmetic progression of 5 terms with first term 3 and common difference 1. For each non-empty subset of $S$, a 'weighted alternating sum' is defined. The weighted alternating sum of a subset is its size multiplied by its alternating sum. The alternating sum is found by listing the elements in decreasing order and alternately adding and subtracting them. For example, for a subset $\{c_1, c_2, c_3\}$ with $c_1>c_2>c_3$, its alternating sum is $c_1-c_2+c_3$ and its weighted alternating sum is $3(c_1-c_2+c_3)$. Find the sum of the weighted alternating sums over all non-empty subsets of $S$.",288
1983-13::1983_prompt02_s03,"Let $S$ be an arithmetic progression of 7 terms with first term 2 and common difference 3. For each non-empty subset of $S$, a 'weighted alternating sum' is defined. The weighted alternating sum of a subset is its size multiplied by its alternating sum. The alternating sum is found by listing the elements in decreasing order and alternately adding and subtracting them. For example, for a subset $\{c_1, c_2, c_3\}$ with $c_1>c_2>c_3$, its alternating sum is $c_1-c_2+c_3$ and its weighted alternating sum is $3(c_1-c_2+c_3)$. Find the sum of the weighted alternating sums over all non-empty subsets of $S$.",4576
1983-13::1983_prompt02_s04,"Let $S$ be an arithmetic progression of 7 terms with first term 3 and common difference 3. For each non-empty subset of $S$, a 'weighted alternating sum' is defined. The weighted alternating sum of a subset is its size multiplied by its alternating sum. The alternating sum is found by listing the elements in decreasing order and alternately adding and subtracting them. For example, for a subset $\{c_1, c_2, c_3\}$ with $c_1>c_2>c_3$, its alternating sum is $c_1-c_2+c_3$ and its weighted alternating sum is $3(c_1-c_2+c_3)$. Find the sum of the weighted alternating sums over all non-empty subsets of $S$.",4800
1983-13::1983_prompt02_s05,"Let $S$ be an arithmetic progression of 6 terms with first term 5 and common difference 2. For each non-empty subset of $S$, a 'weighted alternating sum' is defined. The weighted alternating sum of a subset is its size multiplied by its alternating sum. The alternating sum is found by listing the elements in decreasing order and alternately adding and subtracting them. For example, for a subset $\{c_1, c_2, c_3\}$ with $c_1>c_2>c_3$, its alternating sum is $c_1-c_2+c_3$ and its weighted alternating sum is $3(c_1-c_2+c_3)$. Find the sum of the weighted alternating sums over all non-empty subsets of $S$.",1472
1983-14::1983_prompt04_s01,"Two circles with radii $20$ and $19$ have their centers $30$ units apart. Let $P$ be one of their intersection points. A line through $P$ intersects the circle with radius $20$ at $Q$ and the circle with radius $19$ at $R$, such that $P$ is between $Q$ and $R$. The lengths of the chords $QP$ and $PR$ satisfy the relation $2 \cdot QP = 4 \cdot PR$. Find the square of the length of $QP$.",1426
1983-14::1983_prompt04_s02,"Two circles with radii $11$ and $10$ have their centers $15$ units apart. Let $P$ be one of their intersection points. A line through $P$ intersects the circle with radius $11$ at $Q$ and the circle with radius $10$ at $R$, such that $P$ is between $Q$ and $R$. The lengths of the chords $QP$ and $PR$ satisfy the relation $4 \cdot QP = 2 \cdot PR$. Find the square of the length of $QP$.",84
1983-14::1983_prompt04_s04,"Two circles with radii $22$ and $12$ have their centers $29$ units apart. Let $P$ be one of their intersection points. A line through $P$ intersects the circle with radius $22$ at $Q$ and the circle with radius $12$ at $R$, such that $P$ is between $Q$ and $R$. The lengths of the chords $QP$ and $PR$ satisfy the relation $3 \cdot QP = 4 \cdot PR$. Find the square of the length of $QP$.",910
1983-14::1983_prompt04_s05,"Two circles with radii $12$ and $14$ have their centers $22$ units apart. Let $P$ be one of their intersection points. A line through $P$ intersects the circle with radius $12$ at $Q$ and the circle with radius $14$ at $R$, such that $P$ is between $Q$ and $R$. The lengths of the chords $QP$ and $PR$ satisfy the relation $2 \cdot QP = 4 \cdot PR$. Find the square of the length of $QP$.",576
1983-14::1983_prompt05_s01,"Two circles, $C_1$ and $C_2$, with radii $25$ and $30$, respectively, are drawn so that the distance between their centers is $25$. Let $P$ be one of their intersection points. A line through $P$ meets $C_1$ again at $Q$ and $C_2$ again at $R$, with $P$ between $Q$ and $R$. If $\dfrac{QP}{PR}=\dfrac{3}{2}$, find $QP^2$.",810
1983-15::1983_prompt05_s01,"In a circle of radius 290, there are two intersecting chords AD and BC, with B on minor arc AD. The chord BC has length 68. It is known that AD is bisected by BC, and AD is the only chord starting at A which is bisected by BC. The sine of the central angle of minor arc AB is a rational number p/q in lowest terms. Find p+q.",882
1983-15::1983_prompt05_s02,"In a circle of radius 290, there are two intersecting chords AD and BC, with B on minor arc AD. The chord BC has length 68. It is known that AD is bisected by BC, and AD is the only chord starting at A which is bisected by BC. The sine of the central angle of minor arc AB is a rational number p/q in lowest terms. Find p+q.",882
1983-15::1983_prompt05_s03,"In a circle of radius 290, there are two intersecting chords AD and BC, with B on minor arc AD. The chord BC has length 68. It is known that AD is bisected by BC, and AD is the only chord starting at A which is bisected by BC. The sine of the central angle of minor arc AB is a rational number p/q in lowest terms. Find p+q.",882
1983-15::1983_prompt05_s04,"In a circle of radius 290, there are two intersecting chords AD and BC, with B on minor arc AD. The chord BC has length 68. It is known that AD is bisected by BC, and AD is the only chord starting at A which is bisected by BC. The sine of the central angle of minor arc AB is a rational number p/q in lowest terms. Find p+q.",882
1983-15::1983_prompt05_s05,"In a circle of radius 9802, there are two intersecting chords AD and BC, with B on minor arc AD. The chord BC has length 396. It is known that AD is bisected by BC, and AD is the only chord starting at A which is bisected by BC. The sine of the central angle of minor arc AB is a rational number p/q in lowest terms. Find p+q.",28800
1983-1::1983_prompt02_s01,"Let $w, x_1, x_2, x_3, x_4$ be real numbers, all greater than $1$. Suppose the following equations hold:

$\log_{x_2 x_3 x_4} w = 572$

$\log_{x_1 x_3 x_4} w = 440$

$\log_{x_1 x_2 x_4} w = 715$

$\log_{x_1 x_2 x_3} w = 520$

What is the value of $\log_{x_1 x_2} w$?",1144
1983-1::1983_prompt02_s02,"Let $w, x_1, x_2, x_3, x_4$ be real numbers, all greater than $1$. Suppose the following equations hold:

$\log_{x_2 x_3 x_4} w = 60$

$\log_{x_1 x_3 x_4} w = 110$

$\log_{x_1 x_2 x_4} w = 66$

$\log_{x_1 x_2 x_3} w = 55$

What is the value of $\log_{x_3 x_4} w$?",165
1983-1::1983_prompt02_s04,"Let $w, x_1, x_2, x_3, x_4$ be real numbers, all greater than $1$. Suppose the following equations hold:

$\log_{x_2 x_3 x_4} w = 715$

$\log_{x_1 x_3 x_4} w = 440$

$\log_{x_1 x_2 x_4} w = 520$

$\log_{x_1 x_2 x_3} w = 572$

What is the value of $\log_{x_2 x_4} w$?",1144
1983-1::1983_prompt02_s05,"Let $w, x_1, x_2, x_3, x_4$ be real numbers, all greater than $1$. Suppose the following equations hold:

$\log_{x_2 x_3 x_4} w = 420$

$\log_{x_1 x_3 x_4} w = 390$

$\log_{x_1 x_2 x_4} w = 364$

$\log_{x_1 x_2 x_3} w = 455$

What is the value of $\log_{x_2 x_3} w$?",780
1983-1::1983_prompt12_s01,"Four magical artifacts, $X_1, X_2, X_3, X_4$, have unknown real power levels $x_1, x_2, x_3, x_4$, respectively, all greater than 1. When a set of artifacts are combined, their power levels multiply. A sorcerer uses a reference artifact of power $w > 1$ to measure the combined power $P$ of a set of artifacts, obtaining the value $\log_P w$.

The sorcerer performs four measurements:
- Combining $X_1$ and $X_2$ yields a measurement of 84.
- Combining $X_2$ and $X_3$ yields a measurement of 84.
- Combining $X_3$ and $X_4$ yields a measurement of 70.
- Combining $X_1$ and $X_3$ yields a measurement of 105.

If the sorcerer combines artifacts $X_2$ and $X_4$, what measurement would be obtained?",60
1983-2::1983_prompt02_s01,"Let a sequence of $n=8$ points on the real line be defined by $a_i = 1 \cdot 3^{i-1}$ for $i=1, 2, \dots, 8$. Let $f(x)$ be the sum of the distances from a point $x$ to each of these $n$ points, i.e., $f(x) = \sum_{i=1}^{8} |x - a_i|$. Find the minimum value of $f(x)$ on the closed interval $[a_k, a_j]$, where $k=1$ and $j=6$.",3200
1983-2::1983_prompt02_s02,"Let a sequence of $n=8$ points on the real line be defined by $a_i = 2 \cdot 2^{i-1}$ for $i=1, 2, \dots, 8$. Let $f(x)$ be the sum of the distances from a point $x$ to each of these $n$ points, i.e., $f(x) = \sum_{i=1}^{8} |x - a_i|$. Find the minimum value of $f(x)$ on the closed interval $[a_k, a_j]$, where $k=4$ and $j=7$.",450
1983-2::1983_prompt02_s03,"Let a sequence of $n=8$ points on the real line be defined by $a_i = 1 \cdot 4^{i-1}$ for $i=1, 2, \dots, 8$. Let $f(x)$ be the sum of the distances from a point $x$ to each of these $n$ points, i.e., $f(x) = \sum_{i=1}^{8} |x - a_i|$. Find the minimum value of $f(x)$ on the closed interval $[a_k, a_j]$, where $k=1$ and $j=6$.",21675
1983-2::1983_prompt02_s04,"Let a sequence of $n=4$ points on the real line be defined by $a_i = 1 \cdot 3^{i-1}$ for $i=1, 2, \dots, 4$. Let $f(x)$ be the sum of the distances from a point $x$ to each of these $n$ points, i.e., $f(x) = \sum_{i=1}^{4} |x - a_i|$. Find the minimum value of $f(x)$ on the closed interval $[a_k, a_j]$, where $k=2$ and $j=3$.",32
1983-2::1983_prompt02_s05,"Let a sequence of $n=10$ points on the real line be defined by $a_i = 2 \cdot 2^{i-1}$ for $i=1, 2, \dots, 10$. Let $f(x)$ be the sum of the distances from a point $x$ to each of these $n$ points, i.e., $f(x) = \sum_{i=1}^{10} |x - a_i|$. Find the minimum value of $f(x)$ on the closed interval $[a_k, a_j]$, where $k=3$ and $j=9$.",1922
1983-3::1983_prompt04_s04,Let \(Q(x) = (x^2+6x)^2\). Find the product of all real solutions to the equation \(Q(x)+19 = 8\sqrt{Q(x)+4}\).,105
1983-3::1983_prompt05_s01,What is the product of the real roots of the equation $x^4 + 5x^2 + 194 = 20 \sqrt{x^4 + 5x^2 + 130}$?,-9
1983-3::1983_prompt05_s02,What is the product of the real roots of the equation $x^4 + 4x^2 + 79 = 21 \sqrt{x^4 + 4x^2 + 41}$?,-16
1983-3::1983_prompt05_s03,What is the product of the real roots of the equation $x^4 + 5x^2 + 258 = 27 \sqrt{x^4 + 5x^2 + 148}$?,-16
1983-3::1983_prompt05_s04,What is the product of the real roots of the equation $x^4 + 6x^2 + 169 = 16 \sqrt{x^4 + 6x^2 + 114}$?,-1
1983-4::1983_prompt03_s01,"An ancient map shows a treasure's location relative to four landmarks $P_1, P_2, P_3, P_4$. The path from $P_1$ to $P_4$ is composed of three straight segments: $P_1P_2$ of length $10$ km, $P_2P_3$ of length $4$ km, and $P_3P_4$ of length $6$ km. At $P_2$ one turns $90^\circ$, and at $P_3$ one turns $90^\circ$ in the opposite direction (for example, right at $P_2$ and left at $P_3$). The landmarks $P_1$ and $P_4$ lie on a circle, which represents the boundary of a forbidden zone. The square of the radius of this zone is $68$ km$^2$. The treasure is buried at the center of this forbidden zone, and landmark $P_2$ is known to be inside the zone. Your GPS device is at landmark $P_2$. Find the square of the distance (in km$^2$) from your current location ($P_2$) to the treasure.",8
