id,question,answer
0,"An explorer is challenging to pass through a maze composed of 3033 rows and 3032 columns of squares. The rules of the maze are as follows: In all the middle rows (that is, from the 2nd row to the 3032nd row), there is one invisible teleportation gate hidden in each row, and there are no multiple invisible teleportation gates in the same column. The explorer starts from any position in the 1st row. Each time, he can move one square up, down, left or right, and it is allowed to pass through the explored areas repeatedly. If the explorer touches a teleportation gate, he will immediately return to the starting point and start the next attempt. However, the explorer will mark the position of that teleportation gate. If the explorer reaches any position in the 3033rd row, he will directly pass the maze. It is known that the explorer can remember the positions of all the discovered teleportation gates. Please construct a general strategy so that no matter how the teleportation gates are distributed, the explorer will definitely pass the maze in the \(k\)th attempt in the worst-case scenario. Find the minimum possible value of \(k\).",3033
1,"For an integer n ≥ 3, define the (n − 3 + 1) × (n − 3 + 1) matrix M_n(λ) whose diagonal entries are 3·(k^3 − k) − 4·λ for k = 3, 3+1, …, n, and whose off-diagonal entries are all −4·λ. Let λ_n denote the largest real λ such that det(M_n(λ)) = 0. Compute I = limsup_{n→∞} λ_n.",9.0
10,定义 N 为无法表示成 Σ_{i=1}^{2041} (-1)^{a_i}2^{b_i} 的最小正整数，其中 a_i、b_i 为非负整数（允许指数重复）。求 N 除以 1472 的余数。,1259
11,"Consider a 7 by 2 chessboard. What is the minimum number of squares that must be marked so that, no matter where a bishop is placed, it threatens at least one marked square? A bishop threatens along diagonals, and if it stands on a marked square, that square counts as threatened.",6
12,"Find the largest positive number \(C\)，such that for any six positive integers \(x_1, x_2, \ldots, x_6\)，we have\( \left(x_1+\cdots+x_6\right)^3  \geq C \operatorname{gcd}\left(x_1, x_2, \ldots, x_6\right) \cdot \sum_{i=1}^6 \left(\operatorname{gcd}\left(x_i, x_{i+1}\right) \cdot \operatorname{lcm}\left(x_{i+1}, x_{i+2}\right)\right) \)
where \(x_{7}=x_1, x_{8}=x_2\).",27
13,"You are filling an n×n grid with nonnegative integers (any cell may hold 0, 1, or more), with the rule that any two side-adjacent cells differ by exactly 1. If the total sum of all entries is 1210, determine the greatest possible n for which such a configuration exists.",49
14,"Let a_1, a_2, ..., a_6965 be integers chosen from {1, 2, ..., 1738}. Define S = sum_{i=1}^{6965} floor(a_{i+1}/a_i), with cyclic indexing (a_{n+1} = a_1). Determine the minimum possible value of S.",9
15,"On a 9 by 25 chessboard, what is the maximum number of kings you can place so that every king attacks exactly one other king? Here, a king attacks any square that shares a common vertex with its own square.",86
16,"Chen rolls 3 fair dice labeled 1 through 6. After observing the initial results, Chen may choose up to 2 of the dice to re-roll once (the remaining dice are kept). Chen plays optimally to maximize the probability that the final sum equals 8. Let this optimal probability be p. Compute 216 * p.",50.25
17,"Consider 171 complex numbers r_1,...,r_171, not all zero, chosen so that for t = 1,2,...,m the equalities ∏_{k=1}^{171}(r_k^t + 1) = 1 all hold. Assume every nonzero r_k is a primitive root of unity of even order drawn from the set { 1106, 310, 736 }. Let m be as large as possible under these conditions. Compute m mod 2855.",15
18,"On a 15×15 grid, exactly n 士兵 are placed, one per square. For each 士兵, draw a 5×5 square centered at it with sides parallel to the grid, called its range. If every 士兵's range contains exactly one other 士兵, determine the maximum possible value of n.",48
19,"Define a sequence  by a_1 = 7/(7^2+1) and, for all n ≥ 1, a_n^2 = a_{n+1} - 2 a_n^2 a_{n+1}. Compute the remainder when floor(1/a_1362) is divided by 1591.",823
2,"Consider the real sequence \((a_n)\) defined by \(a_{n+1} = 5^n - 12a_n\) for \(n = 0, 1, 2, \ldots\). Determine the minimal possible value of \(1/a_0\) such that \(a_{n+1} > a_n\) holds for every positive integer \(n\).",17
20,"It is known that one plane divides 3-dimensional space into two parts, two parallel planes divide it into three, and two intersecting planes divide it into four. Consider the planes containing the 6 faces of the cube with vertex labels PQRS-P1Q1R1S1, and the planes containing the 4 faces of the simplex with vertex labels QP1R1S1. How many regions do these planes partition space into?",64
21,"Define the set S = { (2y + -3) / (2x + -1) | min{|x - 2|, |x + 2|} + |y| <= 1 }. Suppose the length of S can be written as m/p in lowest terms. Compute m + p.",67
22,"Inside a sphere with center O, a planar quadrilateral ABCD whose vertices lie on the sphere is an isosceles trapezoid with AB = 2, CD = 3, and AD = BC = 6. Points E and F lie on AD and BC, respectively. If the minimum value of the dot product OE ⋅ OF equals -5.2, determine the least integer greater than the volume of the sphere.",264
23,"Suppose there is a necklace composed of beads of two colors, red and blue, with a total of 16 beads. And the necklace can be freely rotated and flipped (that is, the cases regarded as the same necklace need to be combined for counting). If on this necklace, there are neither three consecutive blue beads nor three consecutive red beads, how many different necklaces that meet the above requirements are there?",88
24,"An infinite plane is marked with a square lattice whose grid spacing is 2.0. A rigid square of side length 2.0 is dropped with a uniformly random location and with an orientation distributed according to half_turn, independently of the lattice. Let p be the probability that a single placement of the square does not cover any lattice vertex. Now repeat this experiment 3 times independently; let q be the probability that none of the 3 placements cover any vertex. Compute ⌊750·q⌋.",0
25,"Sea en Euclid una sucesión no decreciente de números reales t_1, …, t_9 con ∑_{i=1}^{9} t_i = 1.0. Determina el valor máximo de ((∑_{i=1}^{9} |t_i − t_5|)^2 * ∑_{1≤i<j≤9} (t_i − t_j)^2) / (∑_{i=1}^{9} t_i^2)^3.",96.0
26,在一个由7×6个单位小方格（边长为1）组成的矩形棋盘上，选择若干小方格，并在每个被选中的小方格内画一条有向对角线（可选↗或↘方向）。已知对于任意两条所画有向对角线，要么其中一条的终点与另一条的起点重合，要么两条终点之间的距离至少为2。问最多可以选择多少个小方格？,19
27,"On a 3426 by 325 matrix, a non-attacking set is any set of squares with no two in the same row or column. Some squares are colored red so that each row and each column contains at most 13 red squares. Find the minimum positive integer n such that, regardless of the coloring, all red squares lie on the union of n non-attacking sets.",13
28,"Let a_1 = 1 and (a_n) be an infinite sequence of positive integers with the property that for every choice of positive integers k and n, a_n divides a_k + a_{k+1} + ... + a_{k+n-1}. Among all such sequences, let N be the largest possible value of a_1899. Compute N modulo 1705.",1037
29,"Let n be an integer. Define a1 = n^2 + -10 n + 23, a2 = n^2 + -9 n + 97, and a3 = n^2 + -12 n + 46. If all three are prime numbers for some n, find the sum of all possible values of a1 + a2 + a3.",196
3,"ant starts at 47 on the integer line and makes 8191 jumps. The landing sequence must visit every integer in {47+1, 47+2, ..., 47+8191} exactly once. Each jump length is a power of 2, and direction may be left or right. Let S be the sum of the reciprocals of the jump lengths. Find the minimum possible value of S.",13
30,"The 30 edges of a regular icosahedron are distinguished by labeling them 1, 2, ..., 30. How many different ways are there to paint each edge red, white, or blue such that each of the 20 triangular faces of the icosahedron has two edges of the same color and a third edge of a different color? Find the answer mod 1000.",224
31,"Suppose k = 2447. A positive integer N can be expressed as a sum of k consecutive positive integers, N = a + (a+1) + ... + (a+k-1), and cannot be expressed as a sum of k' consecutive positive integers for any other k' > 1. Ranging over all such N that meet this uniqueness condition for k = 2447, determine the minimal possible starting term a.",825
32,"Let a, b, c be positive real numbers with a + b + c = 2. Determine the maximum value of (a^3 + b^3 + c^3)(a + b)(b + c)(c + a). If this maximum equals p = m/n in lowest terms, compute m + n.",19
33,"Inside a 3-dimensional ball in 3 dimensions, 12 points are generated independently with a uniform distribution. Let p = m/n be the probability that the center of the 3-dimensional ball lies outside the convex hull of these 12 points, where m and n are coprime. Find n - m.",1981
34,"从一个总体中随机选取一枚硬币，其正面出现的概率 p 在区间 [0,1] 上服从均匀分布。随后将该硬币独立抛掷 353 次。若“恰好出现 103 次正面”的概率可化为最简分数 m/n，求 m + n。",355
35,"Consider a function g: N x N -> N with g(0,0) = 0 and such that for every pair (x,y) in N x N there exists an n in N with {g(x,y), g(x+1,y), g(x,y+1)} = {n, n+1, n+2}. Let S be the set of all possible values of g(2039, 5903) over all such functions g. Find the 230-th smallest element of S.",687
36,"There are 5 equally spaced points on a circle. 5 tokens labeled 1 through 5 are randomly placed, one per point. Let S be the sum of the absolute differences between labels of all adjacent pairs around the circle. Find the reciprocal of the probability that the random arrangement yields the minimum possible value of S. Arrangements that coincide after rotation or mirror reflection are considered the same.",3
37,"Let x be a positive integer. List its l positive divisors in ascending order as a_1, a_2, …, a_l. If there exist indices i and j in {1, 2, …, l} such that a_8^2 + a_i^2 = a_j^2, determine the least possible value of x.",360
38,There are m distinct positive even integers and n distinct positive odd integers whose total sum is 1736. Determine the maximum possible value of 8 m + 11 n.,560
39,"Diego has a convex 7-gon in the plane. Starting from its vertices, he may use only straightedge constructions and the following tool: for any segment whose endpoints are already constructed, he may divide that segment into m equal parts. Using repeated applications of these operations, he seeks the centroid of the polygon's seven vertices. For how many integers m in the inclusive interval [1,120] is this guaranteed to be achievable?",17
4,"In the 十进制 numeral system, define G(n) as the last non-zero digit of n! for all integers n ≥ 2. Let k be the 5-th smallest positive integer with the property that for every n ≥ 2, G(k*n) = G(n). How many figures does k have when written in 十进制?",12
40,"Define the symmetric difference AΔB as the set of elements that belong to exactly one of A or B. Let S be the collection of 335 consecutive integers starting at 23. Consider all 2^335 subsets of S, labeled A1 through A_{2^335}. Create a 2^335 by 2^335 table M whose entry at (i,j) is the sum of the elements in A_i Δ A_j (the empty set sums to 0). Find the remainder when the sum of all entries of M is divided by 997.",926
41,"Real numbers x_1, x_2, ..., x_3004 satisfy |x_1| + |x_2| + ... + |x_3004| = 1. Consider D = |x_1| + |x_1 - x_2| + |x_1 + x_2 - x_3| + ... + |x_1 + x_2 + ... + x_[n-1] - x_3004|. Let M be the maximal possible value of 1/D. Compute M modulo 35228202.",1574444
42,"Given x1^2 + y1^2 + z1^2 = 1.5^2 and 2 x2 + 5 y2 + 12 z2 = 22, with x1, y1, z1 ∈ ℝ and x2, y2, z2 ∈ (0, +∞). Let x be the minimal value of max{|x2 − x1|, |y2 − y1|, |z2 − z1|}. Find the largest integer strictly less than 1000 · x.",119
43,"Let A be an 10×10 matrix with entries in {0,1}. Each row contains exactly 5 ones and 5 zeros. Determine the number of such matrices A for which A^2 + 5A is the matrix whose every entry equals 5.",126
44,"Let F_131 be the finite field of residues modulo 131. Define W as the smallest set of polynomials over F_131 that contains the two polynomials x + 14 and x^{131-2} + x^{131-3} + ... + x^2 + 2x + 1, and that is closed under composition modulo x^131 - x in the following sense: whenever h1(x), h2(x) are in W, the remainder r(x) of h1(h2(x)) upon division by x^131 - x also lies in W. If N is the total number of distinct polynomials in W, how many consecutive zeros appear at the end of the decimal representation of N?",32
45,"For each real x in [0, 1), define S_x = { n in positive integers : floor(n x) has even parity }. Let f(x) = sum_{n in S_x} 2^{-n}. Let L_max be the largest real number such that f(x) >= L for all x in [0, 1). Compute the greatest integer less than 1000 * L_max.",571
46,"Let integers a and b satisfy a^2 + b^2 ≤ 14. Suppose there exist real numbers x > 0 and y > 0 such that a/√x + 5/(y + 6 x) = b/√y - 5/(y + 6 x) = 3. Find the square of the number of ordered pairs (a, b) that meet these conditions.",361
47,"Find the smallest real constant C such that, for every positive integer n and all real numbers x_0, x_1, ..., x_n, the inequality holds:
∑_{0 ≤ i,j ≤ n} 4·6^{i+j}·C_{i+j}^i·x_i x_j + 2·∑_{0 ≤ i ≤ n} x_i ≥ -C/5808.",4752
48,"Let 22 positive integers be strictly increasing: a_1 < a_2 < ... < a_22, with total sum a_1 + a_2 + ... + a_22 = 2809. For each k = 1, 2, ..., 22-1, define b_k = min(sum of the first k terms, sum of the remaining 22-k terms). Let S = max{b_1, b_2, ..., b_22-1}. Among all such sequences, determine the minimal possible value of S.",231
49,"Fill a 106×106 grid with the integers 1 through 106^2, each used exactly once. For every pair of entries that share a row or a column, form the ratio of the larger to the smaller. The minimum of all these ratios is called the characteristic value of the grid. Over all possible fillings, this characteristic value is maximized; write this maximum as α/β in lowest terms and compute α+β.",213
5,"Within the inclusive range from 116498 to 171444, for how many integers k does the collection of positive integer triples (n, a, b) satisfying n is odd, gcd(a, b) = 1, a + b = k, and n divides a^n + b^n contain only finitely many elements?",1
50,"A circle with center O has radius r = 0.5. A regular 9-gon is inscribed in the circle. Point M ranges over all points on the polygon's edges (including endpoints). Points E and F are diametrically opposite on the circle. Define S as the minimum, over all such M, of the dot product MF · ME. Compute ceil(20000 × (−S)).",585
51,"设集合 S 为等差数列 { 1, 1+3, 1+23, …, 1+(72-1)3 }。对任意非空有限实数集 X，定义 f(X) = (1/|X|)·(∑_{x∈X} x)。现有不相交集合 A、B 且 A ∪ B = S，并满足 20 ≤ |A| ≤ 33、38 ≤ |B| ≤ 42。对任意 p ∈ B，令 A_p = A ∪ ，B_p = {x ∈ B : x ≠ p}。在所有满足条件的 (A,B) 及 p ∈ B 中，求 (f(A_p)−f(A))·(f(B_p)−f(B)) 的最大值。若该最大值为既约分数，请输出其分子与分母之和；若为整数，请输出该整数。",16739
52,"Inside a regular tetrahedron with side length 4/4, a solid sphere moves freely. The sphere’s radius is 2/5 of the tetrahedron’s inradius. Let V be the volume of the region that the sphere’s center can occupy (i.e., points at least that distance from every face). Compute floor(1 / V^2).",1543
53,"Find the smallest positive integer n with n ≥ 1140 such that there exists a bijection f: {1, …, n} → {1, …, n} with the property: for any x, y in {1, …, n}, if n divides (474·x − y), then (n + 1) divides f(x)^474 − f(y). Determine n.",1150
54,"Let x_i = i/71 for i = 0, 1, ..., 71. Define S = sum_{i=0}^{71} x_i^5 / (x_i^5 + (1 - x_i)^5). Find S.",36
55,"Let nonnegative real numbers x, y, z satisfy sqrt(x^2 + y^2) + z = 1. For a positive real parameter k, define f(k) as the maximum value of 4(xy + k x z). Evaluate the greatest integer not exceeding 1 f^2(1) + 8 f^2(3) + 15 f^2(4) + 35 f^2(6) + 48 f^2(7).",4038
56,Let I_n = ∫ from 0 to (π/2 + 2π) of (sin^2(1 n t) / sin t) dt. Compute the greatest integer less than 2176 × lim_{n→∞} ( I_n / log_6 n ).,1949
57,"Determine the smallest constant k such that, for any positive real real numbers x, y, and z, the inequality x/√(x+y) + y/√(y+z) + z/√(z+x) ≤ (k/1252) √(x+y+z) always holds.",1565
