variant_id,question,answer
0_prompt01_s01,"A rectangular grid maze has 433 rows and 432 columns of unit squares. For each middle row (that is, rows 2 through 432), there is exactly one invisible teleportation gate hidden in that row, and no two gates lie in the same column. An explorer may start each attempt from any chosen square in the top row. In an attempt, the explorer may move one square at a time up, down, left, or right, revisiting squares if desired. If the explorer steps on a teleportation gate, the attempt immediately ends and the explorer is returned to the starting square of that attempt; the exact gate location just triggered is then recorded and remembered for future attempts. If the explorer reaches any square in the bottom row, they immediately succeed and the process stops. Give a general strategy that guarantees success in the worst case by the k-th attempt, no matter how the gates are placed subject to the rules, and find the minimum possible value of k in terms of 433 and 432.",3
0_prompt01_s04,"A rectangular grid maze has 1481 rows and 1480 columns of unit squares. For each middle row (that is, rows 2 through 1480), there is exactly one invisible teleportation gate hidden in that row, and all of these gates lie in one of the same two columns. An explorer may start each attempt from any chosen square in the top row. In an attempt, the explorer may move one square at a time up, down, left, or right, revisiting squares if desired. If the explorer steps on a teleportation gate, the attempt immediately ends and the explorer is returned to the starting square of that attempt; the exact gate location just triggered is then recorded and remembered for future attempts. If the explorer reaches any square in the bottom row, they immediately succeed and the process stops. What is the minimum possible value of k such that a strategy can guarantee success by the k-th attempt, no matter how the gates are placed subject to the rules?",3
0_prompt02_s01,"An explorer must traverse a rectangular grid of 188 rows and 286 columns of unit squares. The explorer may begin each attempt at any chosen square in row 1, and may move one square at a time (up, down, left, or right), revisiting squares if desired. Among the middle rows 2 through 187, exactly 9 distinct columns each contain a single invisible teleport gate (located at an arbitrary, adversarially chosen middle-row position within that column), while the remaining 277 columns contain no gate at all. No column contains more than one gate, but a row may contain gates in multiple columns. If the explorer ever steps on a gate, the explorer is immediately returned to the chosen start square and that attempt ends; the location of the touched gate is then perfectly recorded and remembered for all future attempts. Reaching any square in row 188 ends the process successfully. The total number 9 of gated columns is known in advance to the explorer. In the worst case over all placements of the gates consistent with these rules, determine the minimal number k of attempts required by an optimal strategy to guarantee success. Output this minimal k.",10
0_prompt02_s02,"An explorer must traverse a rectangular grid of 233 rows and 13 columns of unit squares. The explorer may begin each attempt at any chosen square in row 1, and may move one square at a time (up, down, left, or right), revisiting squares if desired. Among the middle rows 2 through 232, exactly 7 distinct columns each contain a single invisible teleport gate (located at an arbitrary, adversarially chosen middle-row position within that column), while the remaining 6 columns contain no gate at all. No column contains more than one gate, but a row may contain gates in multiple columns. If the explorer ever steps on a gate, the explorer is immediately returned to the chosen start square and that attempt ends; the location of the touched gate is then perfectly recorded and remembered for all future attempts. Reaching any square in row 233 ends the process successfully. The total number 7 of gated columns is known in advance to the explorer. In the worst case over all placements of the gates consistent with these rules, determine the minimal number k of attempts required by an optimal strategy to guarantee success. Output this minimal k.",8
0_prompt02_s03,"An explorer must traverse a rectangular grid of 107 rows and 122 columns of unit squares. The explorer may begin each attempt at any chosen square in row 1, and may move one square at a time (up, down, left, or right), revisiting squares if desired. Among the middle rows 2 through 106, exactly 75 distinct columns each contain a single invisible teleport gate (located at an arbitrary, adversarially chosen middle-row position within that column), while the remaining 47 columns contain no gate at all. No column contains more than one gate, but a row may contain gates in multiple columns. If the explorer ever steps on a gate, the explorer is immediately returned to the chosen start square and that attempt ends; the location of the touched gate is then perfectly recorded and remembered for all future attempts. Reaching any square in row 107 ends the process successfully. The total number 75 of gated columns is known in advance to the explorer. In the worst case over all placements of the gates consistent with these rules, determine the minimal number k of attempts required by an optimal strategy to guarantee success. Output this minimal k.",76
1_prompt02_s01,"In a math contest, for each integer n ≥ 5, define an (n − 5 + 1) by (n − 5 + 1) matrix M_n(λ) as follows: for i = 5, 5 + 1, …, n, the i-th diagonal entry is (i + 4)(i + 4 + 1)…(i + 4 + 5 − 1) − λ, and every off-diagonal entry equals −λ. Let λ_n be the maximal real λ > 0 with det(M_n(λ)) = 0. Determine the exact value of L = limsup_{n→∞} λ_n.",47520
1_prompt02_s02,"In a math contest, for each integer n ≥ 5, define an (n − 5 + 1) by (n − 5 + 1) matrix M_n(λ) as follows: for i = 5, 5 + 1, …, n, the i-th diagonal entry is (i + 4)(i + 4 + 1)…(i + 4 + 6 − 1) − λ, and every off-diagonal entry equals −λ. Let λ_n be the maximal real λ > 0 with det(M_n(λ)) = 0. Determine the exact value of L = limsup_{n→∞} λ_n.",772200
1_prompt02_s03,"In a math contest, for each integer n ≥ 5, define an (n − 5 + 1) by (n − 5 + 1) matrix M_n(λ) as follows: for i = 5, 5 + 1, …, n, the i-th diagonal entry is (i + 3)(i + 3 + 1)…(i + 3 + 4 − 1) − λ, and every off-diagonal entry equals −λ. Let λ_n be the maximal real λ > 0 with det(M_n(λ)) = 0. Determine the exact value of L = limsup_{n→∞} λ_n.",2160
1_prompt02_s04,"In a math contest, for each integer n ≥ 5, define an (n − 5 + 1) by (n − 5 + 1) matrix M_n(λ) as follows: for i = 5, 5 + 1, …, n, the i-th diagonal entry is (i + 2)(i + 2 + 1)…(i + 2 + 4 − 1) − λ, and every off-diagonal entry equals −λ. Let λ_n be the maximal real λ > 0 with det(M_n(λ)) = 0. Determine the exact value of L = limsup_{n→∞} λ_n.",1512
1_prompt02_s05,"In a math contest, for each integer n ≥ 5, define an (n − 5 + 1) by (n − 5 + 1) matrix M_n(λ) as follows: for i = 5, 5 + 1, …, n, the i-th diagonal entry is (i + 0)(i + 0 + 1)…(i + 0 + 5 − 1) − λ, and every off-diagonal entry equals −λ. Let λ_n be the maximal real λ > 0 with det(M_n(λ)) = 0. Determine the exact value of L = limsup_{n→∞} λ_n.",6720
10_prompt01_s02,"Define N to be the least positive integer that cannot be expressed as a sum of at most 1767 terms of the form ± 2^{b_i}, where each b_i is a nonnegative integer and repetitions of exponents are allowed. Compute N modulo 61713647.",42093190
10_prompt01_s03,"Define N to be the least positive integer that cannot be expressed as a sum of at most 424 terms of the form ± 2^{b_i}, where each b_i is a nonnegative integer and repetitions of exponents are allowed. Compute N modulo 43356542.",8089541
10_prompt01_s04,"Define N to be the least positive integer that cannot be expressed as a sum of at most 5748 terms of the form ± 2^{b_i}, where each b_i is a nonnegative integer and repetitions of exponents are allowed. Compute N modulo 11523907.",7917559
10_prompt02_s01,"Let N be the minimal positive integer that cannot be expressed as sum_{i=1}^18208 (-1)^{a_i} 2^{b_i}, where each a_i and b_i is a nonnegative integer and exponents b_i may repeat. Compute N modulo 2097319.",705148
10_prompt02_s02,"Let N be the minimal positive integer that cannot be expressed as sum_{i=1}^29199 (-1)^{a_i} 2^{b_i}, where each a_i and b_i is a nonnegative integer and exponents b_i may repeat. Compute N modulo 1048659.",989773
11_prompt01_s01,"On an 9x8 grid, a bishop moves along diagonals, but blocked squares stop lines of sight and cannot be occupied. Let B be the set of blocked squares, listed as row-column pairs with 1-based indices: [(1, 7), (2, 8), (3, 2), (3, 3), (3, 7), (3, 8), (4, 1), (4, 4), (5, 8), (6, 8), (7, 3), (7, 4), (8, 6), (9, 6)].
You may mark only unblocked squares. Determine the smallest number of unblocked squares that must be marked so that for every legal placement of a single bishop on any unblocked square, each of the two diagonals through that square contains at least one marked unblocked square (the bishop's own square counts if it is marked). Provide only the minimal number.",23
11_prompt01_s02,"On an 11x8 grid, a bishop moves along diagonals, but blocked squares stop lines of sight and cannot be occupied. Let B be the set of blocked squares, listed as row-column pairs with 1-based indices: [(1, 1), (2, 2), (2, 3), (2, 4), (2, 6), (2, 7), (2, 8), (4, 1), (4, 3), (5, 3), (5, 4), (6, 2), (7, 1), (8, 3), (8, 8), (9, 3), (11, 3), (11, 4), (11, 7)].
You may mark only unblocked squares. Determine the smallest number of unblocked squares that must be marked so that for every legal placement of a single bishop on any unblocked square, each of the two diagonals through that square contains at least one marked unblocked square (the bishop's own square counts if it is marked). Provide only the minimal number.",28
11_prompt01_s03,"On an 8x14 grid, a bishop moves along diagonals, but blocked squares stop lines of sight and cannot be occupied. Let B be the set of blocked squares, listed as row-column pairs with 1-based indices: [(1, 1), (1, 9), (2, 4), (2, 7), (2, 13), (3, 1), (3, 3), (3, 8), (3, 14), (4, 2), (4, 3), (4, 5), (4, 11), (4, 12), (4, 14), (5, 8), (5, 12), (5, 14), (6, 3), (6, 7), (7, 1), (7, 5), (7, 12), (8, 2), (8, 7)].
You may mark only unblocked squares. Determine the smallest number of unblocked squares that must be marked so that for every legal placement of a single bishop on any unblocked square, each of the two diagonals through that square contains at least one marked unblocked square (the bishop's own square counts if it is marked). Provide only the minimal number.",36
11_prompt01_s04,"On an 13x8 grid, a bishop moves along diagonals, but blocked squares stop lines of sight and cannot be occupied. Let B be the set of blocked squares, listed as row-column pairs with 1-based indices: [(2, 2), (2, 8), (4, 5), (4, 6), (4, 8), (5, 3), (5, 6), (6, 5), (7, 2), (8, 3), (9, 2), (10, 1), (10, 3), (10, 4), (11, 1), (11, 6), (12, 2), (12, 5), (13, 7)].
You may mark only unblocked squares. Determine the smallest number of unblocked squares that must be marked so that for every legal placement of a single bishop on any unblocked square, each of the two diagonals through that square contains at least one marked unblocked square (the bishop's own square counts if it is marked). Provide only the minimal number.",31
11_prompt02_s01,"On a 9 x 19 chessboard, what is the minimum number of squares that must be marked so that for every placement of a single bishop on any square, both diagonals through that square contain at least one marked square (if the bishop is placed on a marked square, it counts for both diagonals)?",27
