question,answer
"An ancient map shows a treasure's location relative to four landmarks $P_1, P_2, P_3, P_4$. The path from $P_1$ to $P_4$ is composed of three straight segments: $P_1P_2$ of length $5$ km, $P_2P_3$ of length $4$ km, and $P_3P_4$ of length $3$ km. The instructions state that one must turn $90^\circ$ at $P_2$ and again at $P_3$ (both turns in the same direction, say, right). The landmarks $P_1$ and $P_4$ are known to lie on a circle, which represents the boundary of a forbidden zone. The square of the radius of this zone is $20$ km$^2$. The treasure is buried at the center of this forbidden zone, and landmark $P_2$ is known to be inside the zone. Your GPS device is at landmark $P_2$. Find the square of the distance (in km$^2$) from your current location ($P_2$) to the treasure.",5
"An $n$-dimensional gemstone is in the shape of a simplex $S$. A gem cutter makes $n+1$ cuts, with each cut being parallel to one of the $(n-1)$-dimensional faces of $S$, and each cut associated with a different vertex. This process results in $n+1$ small simplices being cut from the corners of $S$. The geometry of the cuts is such that the original simplex $S$ is perfectly tiled by these $n+1$ corner pieces and the regions found between them. For a gemstone of dimension $n=3$, the volumes of the $n+1$ corner pieces were measured to be {$v_list}. Find the volume of the original gemstone $S$.",17576
"Let $w, x_1, x_2, x_3, x_4$ be real numbers, all greater than $1$. Suppose the following equations hold:

$\log_{x_2 x_3 x_4} w = 715$

$\log_{x_1 x_3 x_4} w = 440$

$\log_{x_1 x_2 x_4} w = 520$

$\log_{x_1 x_2 x_3} w = 572$

What is the value of $\log_{{target_prod}} w$?",1144
Let a sum be defined by $S = \sum_{k={j_start}}^{{j_end}} \operatorname{arccot}(13k^2 + 101k + 193)$. Compute the value of $78 \cdot \cot(S)$.,1729
"A mysterious function $f(x)$, defined for all real numbers, is known to exhibit strange symmetries. It is symmetric about the line $x=11$, satisfying $f(11+x) = f(11-x)$, but anti-symmetric about the point $(17, 0)$, satisfying $f(17+x) = -f(17-x)$. A spy has discovered that $x=-2$ is a root, i.e., $f(-2)=0$. What is the minimum number of roots that $f(x)=0$ must have in the interval $[-353, 353]$?",118
"Three rectangles are used to construct a polyhedron. The first rectangle has dimensions $L_1 \times L_2$, the second $L_2 \times L_3$, and the third $L_3 \times L_1$. Each rectangle is cut into two pieces (a right triangle and a pentagon) by a line segment joining the midpoints of two adjacent sides. These six pieces are then arranged so their cut edges form a hexagonal base, and they are folded up to create a convex polyhedron. The side lengths of the hexagonal base, in order, are $\sqrt{290}, \sqrt{394}, \sqrt{346}, \sqrt{290}, \sqrt{394}, \sqrt{346}$. Find the volume of the polyhedron.",8580
"An ancient map shows a treasure's location relative to four landmarks $P_1, P_2, P_3, P_4$. The path from $P_1$ to $P_4$ is composed of three straight segments: $P_1P_2$ of length $14$ km, $P_2P_3$ of length $8$ km, and $P_3P_4$ of length $10$ km. The instructions state that one must turn $90^\circ$ at $P_2$ and again at $P_3$ (both turns in the same direction, say, right). The landmarks $P_1$ and $P_4$ are known to lie on a circle, which represents the boundary of a forbidden zone. The square of the radius of this zone is $160$ km$^2$. The treasure is buried at the center of this forbidden zone, and landmark $P_2$ is known to be inside the zone. Your GPS device is at landmark $P_2$. Find the square of the distance (in km$^2$) from your current location ($P_2$) to the treasure.",20
"Let $f(x) = \frac{{{a}}(x^{{{k}}} \sin x)^3 + {{b}}}{x^{{{k}}} \sin x}$. Find the minimum value of $f(x)$ for $x$ in the interval $(0, \pi)$.",21
"An ancient map shows a treasure's location relative to four landmarks $P_1, P_2, P_3, P_4$. The path from $P_1$ to $P_4$ is composed of three straight segments: $P_1P_2$ of length $10$ km, $P_2P_3$ of length $4$ km, and $P_3P_4$ of length $6$ km. The instructions state that one must turn $90^\circ$ at $P_2$ and again at $P_3$ (both turns in the same direction, say, right). The landmarks $P_1$ and $P_4$ are known to lie on a circle, which represents the boundary of a forbidden zone. The square of the radius of this zone is $68$ km$^2$. The treasure is buried at the center of this forbidden zone, and landmark $P_2$ is known to be inside the zone. Your GPS device is at landmark $P_2$. Find the square of the distance (in km$^2$) from your current location ($P_2$) to the treasure.",8
"Let $w, x_1, x_2, x_3, x_4$ be real numbers, all greater than $1$. Suppose the following equations hold:

$\log_{x_2 x_3 x_4} w = 420$

$\log_{x_1 x_3 x_4} w = 390$

$\log_{x_1 x_2 x_4} w = 364$

$\log_{x_1 x_2 x_3} w = 455$

What is the value of $\log_{{target_prod}} w$?",780
